"date","time","account","text"
"2024-10-29","09:58:08","長岡 健@TakeruNagaoka","経営組織論（第6回）「組織の中の非合理性」#mgtorg2024おはようございます。今週末は学祭。気候も秋っぽくなりました。そして、うちの猫たちは「床暖のスイッチをオンにして」と目で訴え始めました。

私は「まだ早いよ」と返答してから、市ヶ谷へ。さあ今日も、楽しく学ぼう！pic.x.com/VYfORh73iX"
"2024-10-29","10:39:52","けいたつ I 世界に名が轟く会社をつくる@_kk_marumaru","先週は欠席したので今回はいつも以上に気合い入れて授業うけます！よろしくお願いいたします#mgtorg2024"
"2024-10-29","10:40:53","シカ@shika_deshika","おはようございます#mgtorg2024"
"2024-10-29","10:41:02","まる@oDApfas7DPvsAp3","おはようございます☀️
今日は暖かい飲み物を用意してみました！☕️#mgtorg2024"
"2024-10-29","10:42:41","まる@oDApfas7DPvsAp3","もう6回目か、、はや！#mgtorg2024"
"2024-10-29","10:43:08","ひの@hosei_univ_3","今日は就活があるのでオンデマンドで#mgtorg2024"
"2024-10-29","10:44:10","味噌ラーメン@yuta_mgtorg2024","先週は説明会とかぶってしまい、初めてYouTubeで視聴
今更ながら、見ながらツイートすればよかったなと…笑#mgtorg2024"
"2024-10-29","10:44:32","けいたつ I 世界に名が轟く会社をつくる@_kk_marumaru","渋谷のカフェゼミ面白そう行ってみたい#mgtorg2024"
"2024-10-29","10:45:31","てでぃ@yuan_nai44435","おはようございます！徐々に肌寒くなってきたので体調管理を心がけないと〜〜#mgtorg2024"
"2024-10-29","10:46:26","こんぺい@yu813508346040","おはようございます！☁️
秋学期はじめて家で受けます！
家でも集中できる環境づくり！#mgtorg2024"
"2024-10-29","10:46:33","プリン@DFJCjy4gHbruyGo","おはようございます🫧
きょうは韓国から参加🇰🇷#mgtorg2024pic.x.com/v20e03qeQS"
"2024-10-29","10:49:05","ぽぽ@XcClFOZXcL85543","おはようございます！
確かに学祭のあたりで折り返し！改めて気持ちを引き締めていきたい👍#mgtorg2024"
"2024-10-29","10:49:24","竹@hundred_bamboo","おはようございます！
週末は法政大学の学園祭らしいですね〜
関大の学園祭は地域の方も沢山いらっしゃってとても賑わいます！
我がサークルは昨年たった数人で準備したので死にかけました…

週末は帝国劇場行ってました！今の帝国劇場に行くのはラストと思い、噛み締めてきました#mgtorg2024pic.x.com/VHMEJXuCvZ"
"2024-10-29","10:50:48","はるまき@harumak3_4","今日は体調不良だから体調がいい時にYouTubeで学ぼう。
ちゃんと話を聞いておかないといけない。
申し訳ございませんでした。#mgtorg2024"
"2024-10-29","10:52:41","けいたつ I 世界に名が轟く会社をつくる@_kk_marumaru","強制された労働は本当にパフォーマンスは良くないと思う、能動的な労働こそパフォーマンスが最大になる鍵だと思う、ってかそもそも労働という言葉のイメージが強制力のあるイメージなのも良くないなー#mgtorg2024"
"2024-10-29","10:54:48","ペパーミント@If8Rywjdt","70後半〜80後半
【アメリカ】
合理的すぎる#mgtorg2024"
"2024-10-29","10:55:03","ペパーミント@If8Rywjdt","では近年の日本は？合理的？#mgtorg2024"
"2024-10-29","10:56:28","インドアなアウトドア派@indoornaoutdoor","合理的に受験勉強をした学生が、社会に出ると合理的な業務をしない日本の不思議。合理的に受験をしたら会社に入っても合理的に仕事をしそうなハズなのに...#mgtorg2024"
"2024-10-29","10:59:03","noir@hoseinoir","#mgtorg2024性悪説というか、管理をもって最大限を引き出そうというのがアメリカ式
日本式は？管理でなくてモチベーションを引き出す何かをつけることで最大限を引き出す

今だったら正直管理かな～～～それでよくなる未来があんまり見えない、そうできたらいいんだけど、、大学もそうだろうなあ"
"2024-10-29","10:59:17","プリン@DFJCjy4gHbruyGo","従業員が自ら進んで動くってなかなかマニュアルワークにはできない#mgtorg2024"
"2024-10-29","10:59:46","プリン@DFJCjy4gHbruyGo","自ら動いても、〜のためと利他的に動くことになりそう#mgtorg2024"
"2024-10-29","10:59:51","noir@hoseinoir","原罪思想ってこないだ言ったけどアメリカ式はこれもかかわってそう#mgtorg2024x.com/hoseinoir/stat…"
"2024-10-29","11:00:19","味噌ラーメン@yuta_mgtorg2024","綺麗事が日本企業、本音がアメリカ企業の世界観っていう印象をもった#mgtorg2024"
"2024-10-29","11:00:25","けいたつ I 世界に名が轟く会社をつくる@_kk_marumaru","心の持ち方次第で成果は大きく変わる。日本電産の永守社長は赤字の企業を買収し、誰1人解雇せず社員の仕事への考え方を変えただけで一気に黒字まで回復した。能力は関係ない、心の持ち方である、面白い話だなと思った#mgtorg2024"
"2024-10-29","11:00:27","あもーれ@1sfzWkHIGu6XdGs","土壌（環境）を作るってのがキモなのかもしれない。けれど、それはまさに土壌と同じで長い期間をかけて醸成していくものでしかない。日本はこの30年でどんな土壌を作ってきたかを考えるのが大切かも。#mgtorg2024"
"2024-10-29","11:00:28","竹@hundred_bamboo","その分野が学びたくて受験したはずなのに、家事や就活、バイトに時間取られていかに楽に単位取れるかになってる。ギリギリのところで単位取る大学生になるとは思わなかったな…#mgtorg2024"
